Date,ticker,company_id,close,up_probability,prediction
2026-03-06,CVX,55,189.94000244140625,0.50685894,1
2026-03-06,DLR,87,176.19000244140625,0.50663567,1
2026-03-06,XOM,15,151.2100067138672,0.50629675,1
2026-03-06,FDX,54,359.1000061035156,0.506247,1
2026-03-06,RTX,51,209.759994506836,0.5061136,1
2026-03-06,DHR,75,195.5,0.50584495,1
2026-03-06,MS,61,160.27000427246094,0.5056613,1
2026-03-06,BA,47,231.1100006103516,0.50564474,1
2026-03-06,EOG,57,131.41000366210938,0.5055463,1
2026-03-06,HON,49,235.2899932861328,0.50537056,1
2026-03-06,JNJ,8,240.3999938964844,0.5049759,1
2026-03-06,GOOGL,2,298.5199890136719,0.5045896,1
2026-03-06,LMT,50,671.77001953125,0.50437945,1
2026-03-06,VICI,88,29.670000076293945,0.5037328,1
2026-03-06,O,85,65.0,0.5036525,1
2026-03-06,NOC,52,756.1300048828125,0.5035497,1
2026-03-06,LOW,39,251.88999938964844,0.50334173,1
2026-03-06,MCD,42,328.0599975585937,0.50321895,1
2026-03-06,CAT,46,680.9000244140625,0.50313395,1
2026-03-06,DIS,43,101.54000091552734,0.50304055,1
2026-03-06,EQIX,83,937.2000122070312,0.50277597,1
2026-03-06,COST,37,998.0999755859376,0.5025728,1
2026-03-06,HD,12,357.9200134277344,0.5021284,1
2026-03-06,DE,48,589.77001953125,0.50181156,1
2026-03-06,PEP,18,159.42999267578125,0.5015639,1
2026-03-06,SPG,86,194.8300018310547,0.5013748,1
2026-03-06,AMZN,3,213.2100067138672,0.50135094,1
2026-03-06,WMT,36,123.8000030517578,0.5011207,1
2026-03-06,PLD,80,134.5399932861328,0.5006736,1
2026-03-06,LLY,71,990.3300170898438,0.5004547,1
2026-03-06,BAC,14,48.63999938964844,0.5002003,1
2026-03-06,C,62,106.52999877929688,0.5001956,1
2026-03-06,OKTA,99,80.72000122070312,0.49986508,1
2026-03-06,NVDA,6,177.82000732421875,0.49977663,1
2026-03-06,IBM,35,258.8500061035156,0.4997404,1
2026-03-06,MRK,70,115.79000091552734,0.49967262,1
2026-03-06,CRWD,92,428.989990234375,0.49954325,1
2026-03-06,JPM,7,289.4800109863281,0.4994426,1
2026-03-06,BLK,63,955.4500122070312,0.49919385,1
2026-03-06,GILD,79,143.92999267578125,0.4991364,1
2026-03-06,QCOM,33,135.69000244140625,0.4991124,1
2026-03-06,PANW,95,165.0500030517578,0.49877822,1
2026-03-06,OXY,59,54.18999862670898,0.49867827,1
2026-03-06,TXN,34,193.22999572753903,0.4985107,1
2026-03-06,V,9,317.3599853515625,0.49850905,1
2026-03-06,MDB,97,270.4700012207031,0.49849096,1
2026-03-06,GS,60,821.4199829101562,0.49846917,1
2026-03-06,UPS,53,102.36000061035156,0.49832982,1
2026-03-06,CRM,30,202.1100006103516,0.49798322,1
2026-03-06,DDOG,93,125.75,0.49798322,1
2026-03-06,COF,68,187.7100067138672,0.49798322,1
2026-03-06,CCI,82,90.43000030517578,0.49798322,1
2026-03-06,AXP,67,301.0,0.49798322,1
2026-03-06,CSCO,22,78.63999938964844,0.49798322,1
2026-03-06,AMT,81,188.58999633789065,0.49798322,1
2026-03-06,AMD,32,192.42999267578125,0.49798322,1
2026-03-06,ADBE,21,283.6199951171875,0.49798322,1
2026-03-06,ABT,72,109.55999755859376,0.49798322,1
2026-03-06,ABBV,19,230.1100006103516,0.49798322,1
2026-03-06,AVGO,20,330.4800109863281,0.49798322,1
2026-03-06,BMY,73,60.290000915527344,0.49798322,1
2026-03-06,AAPL,0,257.4599914550781,0.49798322,1
2026-03-06,EXR,89,146.6199951171875,0.49798322,1
2026-03-06,NET,94,195.19000244140625,0.49798322,1
2026-03-06,NFLX,44,99.0199966430664,0.49798322,1
2026-03-06,NKE,41,57.0099983215332,0.49798322,1
2026-03-06,MSFT,1,408.9599914550781,0.49798322,1
2026-03-06,MA,10,522.3400268554688,0.49798322,1
2026-03-06,META,4,644.8599853515625,0.49798322,1
2026-03-06,KO,17,77.04000091552734,0.49798322,1
2026-03-06,ISRG,76,490.1600036621094,0.49798322,1
2026-03-06,INTC,31,43.41999816894531,0.49798322,1
2026-03-06,ICE,66,166.19000244140625,0.49798322,1
2026-03-06,GE,45,323.1099853515625,0.49798322,1
2026-03-06,MPC,58,221.27999877929688,0.49798322,1
2026-03-06,PLTR,91,157.16000366210938,0.49798322,1
2026-03-06,ORCL,23,152.9600067138672,0.49798322,1
2026-03-06,PFE,16,27.049999237060547,0.49798322,1
2026-03-06,TSLA,5,396.7300109863281,0.49798322,1
2026-03-06,TMO,74,501.9700012207031,0.49798322,1
2026-03-06,SNOW,90,180.47999572753903,0.49798322,1
2026-03-06,SCHW,64,95.2300033569336,0.49798322,1
2026-03-06,REGN,77,759.8599853515625,0.49798322,1
2026-03-06,PSA,84,308.1300048828125,0.49798322,1
2026-03-06,PG,13,153.6300048828125,0.49798322,1
2026-03-06,TEAM,98,83.62000274658203,0.49798322,1
2026-03-06,SPGI,65,452.3599853515625,0.49798322,1
2026-03-06,UNH,11,286.4800109863281,0.49798322,1
2026-03-06,TGT,38,120.79000091552734,0.49798322,1
2026-03-06,TFC,69,46.4900016784668,0.49798322,1
2026-03-06,VRTX,78,456.6900024414063,0.49798322,1
2026-03-06,ZS,96,164.05999755859375,0.49798322,1
2026-03-06,SBUX,40,98.98999786376952,0.49773997,1
2026-03-06,SLB,56,46.900001525878906,0.49443442,1
